Customer,State,Education,EmploymentStatus,Gender,Location,Marital Status,Vehicle,Income
MO91628,Oregon,Master,Employed,M,Rural,Married,Two-Door Car,65186
HW87852,Oregon,Master,Medical Leave,M,Suburban,Married,Four-Door Car,26840
HB20453,Oregon,Bachelor,Unemployed,M,Suburban,Single,Sports Car,0
BN87372,Oregon,Bachelor,Employed,M,Suburban,Divorced,Two-Door Car,75644
YX23800,Oregon,Bachelor,Employed,M,Suburban,Married,Four-Door Car,38984
DZ87709,Oregon,High School or Below,Employed,F,Rural,Single,Four-Door Car,71811
XW13033,Nevada,College,Employed,M,Suburban,Married,Four-Door Car,20961
LN31673,Washington,College,Employed,M,Rural,Married,Four-Door Car,38923
OM82309,California,Bachelor,Employed,M,Rural,Single,Luxury Car,61321
ZU35962,California,College,Unemployed,F,Rural,Single,Two-Door Car,0
VH85817,California,High School or Below,Employed,M,Suburban,Single,Four-Door Car,51066
DT85712,California,Doctor,Employed,M,Suburban,Married,SUV,34378
YJ88573,Nevada,Master,Employed,M,Suburban,Married,Four-Door Car,43072
SQ19467,Oregon,College,Disabled,F,Suburban,Single,Four-Door Car,25222
HF88410,Washington,High School or Below,Employed,M,Suburban,Married,Four-Door Car,36765
ET79815,California,College,Retired,M,Suburban,Married,Four-Door Car,23091
QC35222,California,Bachelor,Employed,F,Urban,Married,Four-Door Car,48269
CJ15590,Oregon,Bachelor,Employed,F,Suburban,Divorced,Four-Door Car,32720
OI48267,California,College,Employed,M,Suburban,Married,Four-Door Car,20396
JY67916,Oregon,College,Medical Leave,M,Suburban,Married,Two-Door Car,21513
OE75231,Washington,Bachelor,Employed,F,Suburban,Married,Two-Door Car,72540
CZ33664,Oregon,Bachelor,Employed,F,Rural,Married,Four-Door Car,80744
WK30175,Oregon,Bachelor,Employed,M,Suburban,Married,Two-Door Car,52822
ON44465,California,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
TV87155,Oregon,Bachelor,Employed,F,Suburban,Married,Four-Door Car,69738
KH48895,Arizona,Master,Medical Leave,F,Rural,Married,SUV,17780
NZ30757,California,Bachelor,Medical Leave,M,Suburban,Married,Four-Door Car,18107
RI22468,Arizona,Bachelor,Employed,F,Urban,Married,Four-Door Car,57740
FZ30935,Oregon,College,Employed,M,Suburban,Married,Two-Door Car,32627
UG93476,California,College,Unemployed,F,Suburban,Married,SUV,0
AB96670,California,College,Unemployed,M,Suburban,Single,Four-Door Car,0
XK64261,Oregon,Bachelor,Employed,M,Rural,Single,Two-Door Car,65795
EV68375,California,College,Employed,M,Suburban,Married,Four-Door Car,60475
UN51653,California,High School or Below,Unemployed,F,Suburban,Single,SUV,0
TO96662,Oregon,Bachelor,Employed,F,Rural,Married,Four-Door Car,41837
MR52087,California,Bachelor,Employed,F,Rural,Married,Four-Door Car,32303
DE75225,Oregon,High School or Below,Unemployed,M,Suburban,Married,SUV,0
EP80820,California,Bachelor,Employed,F,Rural,Married,Two-Door Car,40531
GU99037,Oregon,College,Employed,M,Urban,Married,Four-Door Car,79898
WI57118,California,College,Employed,M,Suburban,Married,Four-Door Car,56398
YQ74870,Washington,High School or Below,Employed,M,Suburban,Divorced,Four-Door Car,35257
MQ14219,Arizona,College,Employed,M,Suburban,Married,SUV,27804
KN20603,Oregon,Bachelor,Employed,M,Suburban,Single,Four-Door Car,45506
CR48975,Washington,High School or Below,Employed,M,Suburban,Married,Four-Door Car,65196
JI70886,California,High School or Below,Unemployed,M,Suburban,Married,SUV,0
VF72557,Oregon,High School or Below,Retired,M,Suburban,Divorced,SUV,20993
OX28638,Arizona,High School or Below,Employed,M,Suburban,Married,Two-Door Car,37839
SK55033,California,Bachelor,Employed,F,Suburban,Single,Two-Door Car,92711
OO88645,California,College,Employed,F,Urban,Married,Four-Door Car,74665
YT36855,Washington,College,Unemployed,M,Suburban,Married,Two-Door Car,0
CW82151,California,Bachelor,Employed,M,Rural,Married,Sports Car,46833
DY22043,Oregon,High School or Below,Employed,F,Suburban,Married,Two-Door Car,88768
SH36774,California,High School or Below,Employed,M,Suburban,Single,Luxury SUV,28262
EM43724,Nevada,Bachelor,Employed,F,Rural,Married,Four-Door Car,33555
FH85960,Oregon,College,Employed,M,Suburban,Divorced,Four-Door Car,42780
XA55993,Oregon,Master,Employed,F,Rural,Single,Four-Door Car,58850
GO36627,Arizona,College,Employed,M,Urban,Married,Four-Door Car,21880
QH48047,Oregon,College,Retired,M,Suburban,Divorced,Four-Door Car,25251
RB50392,Washington,Master,Unemployed,F,Rural,Married,Four-Door Car,0
UH65059,Arizona,High School or Below,Employed,M,Suburban,Married,Sports Car,24188
FV21968,Nevada,Bachelor,Employed,F,Rural,Married,Four-Door Car,41611
QA87025,Oregon,Bachelor,Employed,F,Urban,Married,Four-Door Car,28406
TQ13499,Arizona,College,Employed,M,Suburban,Married,Four-Door Car,69833
BU44523,Arizona,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
MS41162,Arizona,High School or Below,Unemployed,M,Suburban,Single,SUV,0
PU25891,Oregon,High School or Below,Employed,F,Rural,Married,Sports Car,80536
RB81636,Washington,College,Unemployed,F,Suburban,Single,Four-Door Car,0
SX26335,Oregon,College,Employed,F,Urban,Married,Four-Door Car,97732
AZ95587,Arizona,Bachelor,Employed,F,Urban,Single,Four-Door Car,61222
DS81757,Oregon,College,Unemployed,M,Suburban,Single,Two-Door Car,0
OJ94107,Arizona,Master,Employed,M,Urban,Married,SUV,50335
LP84436,California,High School or Below,Unemployed,F,Suburban,Single,Sports Car,0
YV64727,Washington,High School or Below,Employed,M,Suburban,Married,SUV,63221
LM19287,Oregon,High School or Below,Unemployed,F,Suburban,Married,Four-Door Car,0
ZU18643,Nevada,Bachelor,Employed,M,Urban,Married,Four-Door Car,64495
AZ82578,California,College,Unemployed,F,Suburban,Married,Four-Door Car,0
XC67861,Arizona,Bachelor,Employed,F,Suburban,Divorced,Two-Door Car,28859
YC43143,Arizona,High School or Below,Employed,F,Rural,Married,Four-Door Car,77330
EK59571,Oregon,College,Unemployed,M,Suburban,Married,Four-Door Car,0
GD83998,Washington,Bachelor,Employed,M,Suburban,Single,Four-Door Car,24495
WA25797,Washington,High School or Below,Employed,M,Rural,Married,Sports Car,95697
PD27940,Arizona,High School or Below,Disabled,M,Suburban,Married,SUV,26372
BS77946,Arizona,Bachelor,Medical Leave,F,Rural,Married,SUV,17514
YM50253,California,Bachelor,Employed,F,Urban,Single,Four-Door Car,89270
NR15332,California,High School or Below,Employed,M,Suburban,Married,Four-Door Car,29757
RC62865,Oregon,College,Employed,M,Rural,Single,Four-Door Car,51814
CC15295,Oregon,Bachelor,Employed,F,Suburban,Married,Four-Door Car,24028
KA61892,Arizona,College,Retired,M,Suburban,Married,Sports Car,28142
OS94884,Arizona,Bachelor,Employed,F,Rural,Married,Two-Door Car,52705
ND87334,California,High School or Below,Unemployed,M,Suburban,Married,Two-Door Car,0
ML93326,Washington,College,Employed,F,Urban,Married,SUV,84903
YL74911,California,College,Unemployed,F,Suburban,Divorced,SUV,0
JP69864,Washington,Bachelor,Retired,F,Suburban,Single,Four-Door Car,24910
HL53154,California,Bachelor,Unemployed,M,Suburban,Single,Four-Door Car,0
RI78966,Oregon,Master,Medical Leave,M,Suburban,Married,Four-Door Car,21876
IC13702,California,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
BE10809,California,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
HT87217,Oregon,High School or Below,Employed,F,Urban,Divorced,Four-Door Car,70699
TH95618,California,High School or Below,Unemployed,F,Suburban,Married,Four-Door Car,0
TS19868,California,College,Medical Leave,M,Suburban,Married,Four-Door Car,27501
LP45550,Oregon,Doctor,Disabled,F,Urban,Divorced,Four-Door Car,15897
QR87004,Nevada,College,Employed,F,Rural,Divorced,Four-Door Car,25141
OE75747,Nevada,College,Unemployed,F,Suburban,Married,Four-Door Car,0
DX91392,California,High School or Below,Employed,M,Suburban,Single,Four-Door Car,51066
AB72731,California,Bachelor,Employed,F,Rural,Married,Sports Car,28358
RU49126,Washington,College,Employed,F,Rural,Married,SUV,61846
IS12901,Arizona,Bachelor,Employed,F,Urban,Married,Two-Door Car,90972
IX37561,Washington,College,Unemployed,F,Suburban,Single,Two-Door Car,0
HH90090,California,Bachelor,Employed,F,Suburban,Divorced,Sports Car,29549
IU25463,California,Bachelor,Unemployed,F,Suburban,Married,Four-Door Car,0
KC11055,Nevada,Bachelor,Employed,F,Suburban,Married,Luxury Car,39411
PD33979,Oregon,High School or Below,Employed,M,Suburban,Married,Four-Door Car,21709
NK71023,Nevada,Bachelor,Employed,M,Suburban,Single,Four-Door Car,67890
AB13432,California,Bachelor,Unemployed,M,Suburban,Single,SUV,0
OZ97704,California,High School or Below,Employed,F,Suburban,Single,SUV,84311
UF46533,California,College,Employed,F,Suburban,Single,SUV,99316
XP47431,Arizona,Bachelor,Employed,F,Suburban,Married,SUV,54507
GK73582,California,Bachelor,Employed,F,Urban,Single,Four-Door Car,64586
RV98763,Oregon,College,Employed,M,Urban,Married,Four-Door Car,61709
II62831,California,Master,Employed,M,Urban,Married,SUV,94656
XK33449,California,High School or Below,Unemployed,F,Suburban,Single,Two-Door Car,0
TR85083,California,Bachelor,Employed,M,Suburban,Married,Two-Door Car,61085
EO95328,Oregon,Bachelor,Employed,F,Suburban,Married,Two-Door Car,89284
EN21086,Arizona,High School or Below,Unemployed,F,Suburban,Divorced,Four-Door Car,0
YL83902,Washington,Bachelor,Employed,F,Suburban,Married,Four-Door Car,31686
AZ62651,Oregon,High School or Below,Employed,M,Suburban,Single,Luxury SUV,56855
ZW25874,Oregon,Bachelor,Employed,M,Rural,Single,Four-Door Car,53703
EH41854,Washington,High School or Below,Unemployed,F,Suburban,Single,Two-Door Car,0
MW70227,California,College,Employed,M,Suburban,Married,Four-Door Car,20396
SL22297,California,Master,Disabled,F,Suburban,Single,SUV,27679
RV14138,Nevada,Bachelor,Retired,F,Suburban,Single,SUV,23904
UO62808,Arizona,High School or Below,Employed,F,Suburban,Married,Four-Door Car,65351
ZX64745,California,College,Unemployed,M,Suburban,Single,SUV,0
FL34139,California,High School or Below,Unemployed,M,Suburban,Single,Four-Door Car,0
TS11219,California,College,Unemployed,M,Suburban,Single,SUV,0
XX12304,California,College,Employed,F,Urban,Married,Four-Door Car,64459
SD64087,California,College,Employed,M,Suburban,Married,SUV,32961
OY38576,Oregon,High School or Below,Employed,F,Suburban,Divorced,SUV,71416
BG76355,Washington,Bachelor,Employed,F,Rural,Married,Four-Door Car,68964
IP66913,California,High School or Below,Employed,M,Suburban,Single,Two-Door Car,78108
LE95702,California,College,Retired,M,Suburban,Single,Four-Door Car,10621
KX54357,Washington,College,Employed,M,Urban,Married,Two-Door Car,84910
EZ78112,California,High School or Below,Employed,F,Urban,Single,Four-Door Car,77493
XN16891,Arizona,College,Employed,M,Suburban,Divorced,Four-Door Car,81097
XK31350,Oregon,College,Employed,F,Suburban,Married,Four-Door Car,96610
CC30924,Oregon,College,Employed,M,Urban,Married,Sports Car,30110
IT78748,Oregon,High School or Below,Disabled,F,Suburban,Married,Two-Door Car,22081
KY33386,Washington,High School or Below,Unemployed,F,Suburban,Divorced,Sports Car,0
CO44221,California,College,Employed,M,Suburban,Married,Four-Door Car,98473
LK60013,Oregon,Bachelor,Employed,F,Suburban,Married,Four-Door Car,97431
DE21533,California,Bachelor,Employed,M,Suburban,Divorced,Four-Door Car,93870
YS94121,Nevada,High School or Below,Employed,M,Suburban,Divorced,Four-Door Car,50366
UK68427,Washington,High School or Below,Employed,M,Suburban,Single,Two-Door Car,34498
TE49565,Oregon,College,Disabled,F,Suburban,Married,SUV,16552
RA88421,Oregon,College,Employed,F,Suburban,Married,Four-Door Car,26787
KQ51983,Nevada,College,Unemployed,M,Suburban,Single,Two-Door Car,0
CD88896,Nevada,High School or Below,Employed,F,Rural,Single,Four-Door Car,43860
YV22553,Arizona,High School or Below,Employed,M,Urban,Married,SUV,21474
WU14435,California,Bachelor,Disabled,M,Suburban,Married,Four-Door Car,18174
XV84099,Arizona,Bachelor,Unemployed,F,Suburban,Married,Four-Door Car,0
RI24911,Arizona,College,Employed,M,Urban,Single,Two-Door Car,60920
KO26461,Arizona,High School or Below,Employed,M,Urban,Married,Four-Door Car,41520
HI14283,Oregon,Bachelor,Unemployed,F,Suburban,Married,SUV,0
PT50227,Arizona,High School or Below,Unemployed,M,Suburban,Married,Two-Door Car,0
BH36570,California,Bachelor,Employed,M,Suburban,Married,Two-Door Car,72208
TX17484,California,Bachelor,Employed,F,Rural,Married,Four-Door Car,53863
CT41158,Washington,College,Employed,M,Urban,Divorced,SUV,66446
AO87348,Washington,College,Unemployed,M,Suburban,Single,Four-Door Car,0
DE55857,Washington,Bachelor,Employed,F,Suburban,Single,Four-Door Car,64997
LF66923,Nevada,High School or Below,Employed,F,Suburban,Married,Two-Door Car,64460
CN24514,Arizona,College,Employed,F,Rural,Married,Four-Door Car,46618
UW32074,Oregon,College,Unemployed,F,Suburban,Divorced,Four-Door Car,0
HP36979,California,College,Employed,M,Suburban,Married,Two-Door Car,49988
PP40919,California,College,Unemployed,F,Suburban,Single,Two-Door Car,0
RO73268,California,Bachelor,Disabled,M,Suburban,Divorced,Two-Door Car,16269
HO61691,Arizona,Bachelor,Employed,F,Suburban,Divorced,Four-Door Car,72006
BS13062,Arizona,High School or Below,Unemployed,F,Suburban,Married,Four-Door Car,0
FO35655,Oregon,Bachelor,Unemployed,M,Suburban,Single,Luxury SUV,0
HR10526,California,Master,Employed,M,Suburban,Married,Four-Door Car,44320
IA63417,Arizona,High School or Below,Retired,F,Suburban,Divorced,Two-Door Car,19782
BH35016,Nevada,Bachelor,Employed,F,Suburban,Divorced,Two-Door Car,63933
PK52952,Arizona,Doctor,Employed,M,Suburban,Single,SUV,28224
OD76309,Washington,College,Retired,F,Suburban,Divorced,SUV,21073
IL28481,Oregon,Bachelor,Employed,M,Urban,Married,Four-Door Car,63243
GY55092,Nevada,High School or Below,Retired,M,Suburban,Divorced,SUV,20993
UF33451,Oregon,Bachelor,Employed,F,Urban,Married,SUV,94827
CF15558,California,Master,Employed,F,Urban,Married,Two-Door Car,39161
JM62924,Washington,Bachelor,Employed,M,Suburban,Married,Four-Door Car,37534
EM66435,Oregon,Bachelor,Employed,F,Rural,Divorced,Four-Door Car,80210
QX45933,California,Bachelor,Unemployed,M,Suburban,Married,Four-Door Car,0
JI71369,California,College,Employed,F,Rural,Married,Four-Door Car,30110
JU93290,Arizona,College,Medical Leave,F,Suburban,Divorced,Four-Door Car,21708
GU66096,Arizona,High School or Below,Employed,M,Suburban,Married,Four-Door Car,94731
UC33108,California,Bachelor,Employed,M,Suburban,Married,Four-Door Car,32375
LW93867,Oregon,College,Medical Leave,M,Rural,Married,Four-Door Car,16531
OU78470,Arizona,Master,Employed,F,Rural,Single,Four-Door Car,32006
XW90265,Arizona,Bachelor,Employed,F,Suburban,Married,Two-Door Car,81676
HS67749,California,College,Employed,M,Rural,Married,Four-Door Car,71038
VZ51506,Arizona,High School or Below,Unemployed,F,Suburban,Single,Sports Car,0
UI64281,Nevada,Master,Medical Leave,F,Rural,Married,Two-Door Car,20832
AE98193,Washington,High School or Below,Unemployed,M,Suburban,Single,SUV,0
AZ74055,Oregon,High School or Below,Employed,M,Suburban,Married,Four-Door Car,52405
XS76911,Arizona,High School or Below,Unemployed,F,Suburban,Married,Sports Car,0
AY40674,Washington,Bachelor,Employed,F,Suburban,Married,SUV,26583
NA12740,Oregon,Master,Disabled,M,Rural,Married,Two-Door Car,25486
UA84837,Arizona,College,Employed,M,Suburban,Divorced,Four-Door Car,24065
DJ51510,Arizona,High School or Below,Employed,F,Rural,Married,Four-Door Car,70435
VM58985,California,College,Unemployed,M,Suburban,Single,Two-Door Car,0
OH60605,Oregon,High School or Below,Employed,F,Suburban,Married,Two-Door Car,39679
UO98052,Nevada,College,Unemployed,M,Urban,Single,Four-Door Car,0
NC53424,California,Bachelor,Unemployed,M,Suburban,Married,Two-Door Car,0
LQ13873,Nevada,High School or Below,Employed,M,Suburban,Married,Four-Door Car,53565
LA97014,Washington,Bachelor,Employed,M,Suburban,Married,Two-Door Car,37574
NB79936,Washington,Bachelor,Employed,M,Rural,Single,Two-Door Car,48259
NT89061,Arizona,High School or Below,Employed,F,Suburban,Married,Four-Door Car,78532
AF10970,Arizona,Bachelor,Employed,F,Suburban,Married,Four-Door Car,96163
ZG48513,California,Bachelor,Unemployed,M,Suburban,Single,Four-Door Car,0
JQ59145,California,High School or Below,Unemployed,M,Suburban,Married,Sports Car,0
FE84989,Washington,College,Employed,M,Urban,Married,Four-Door Car,72672
JT52858,Oregon,Bachelor,Employed,F,Suburban,Married,Four-Door Car,99002
MC62068,California,High School or Below,Employed,M,Urban,Married,Four-Door Car,79494
EU27538,Oregon,Master,Employed,M,Rural,Married,Luxury Car,35704
RH42306,Arizona,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
US23612,Oregon,High School or Below,Disabled,F,Rural,Married,Two-Door Car,26049
WV76014,Arizona,Doctor,Employed,M,Rural,Single,Four-Door Car,70125
RK96223,California,College,Employed,M,Suburban,Married,SUV,52369
MF82000,Washington,Bachelor,Unemployed,F,Rural,Married,Four-Door Car,0
FM46980,Arizona,College,Employed,M,Suburban,Married,Four-Door Car,41770
SY56792,Oregon,High School or Below,Unemployed,M,Suburban,Divorced,Four-Door Car,0
RF61565,California,College,Employed,M,Suburban,Married,Four-Door Car,31911
IM94808,Nevada,Bachelor,Employed,M,Rural,Married,Four-Door Car,70051
VI14730,Oregon,High School or Below,Retired,M,Suburban,Married,Sports Car,19683
YR34119,Washington,College,Employed,F,Rural,Married,SUV,30916
RR77985,Oregon,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
VC22097,Washington,College,Unemployed,F,Suburban,Divorced,SUV,0
WV17090,California,Bachelor,Unemployed,M,Suburban,Married,SUV,0
TM23514,Oregon,College,Employed,M,Urban,Single,SUV,60145
MQ68407,Oregon,Bachelor,Employed,F,Rural,Divorced,Four-Door Car,63774
GJ59592,California,Bachelor,Employed,F,Suburban,Married,Four-Door Car,25134
FY56083,Oregon,Bachelor,Employed,M,Rural,Married,Four-Door Car,37057
UA94723,Oregon,High School or Below,Employed,F,Urban,Married,SUV,58577
FW91032,California,High School or Below,Employed,M,Rural,Married,Four-Door Car,85857
DE34457,Oregon,Doctor,Employed,F,Urban,Married,SUV,70602
HD32044,Oregon,Master,Employed,F,Suburban,Divorced,Four-Door Car,33816
HH30454,Oregon,Bachelor,Unemployed,M,Suburban,Single,SUV,0
AH84063,Oregon,College,Employed,F,Rural,Married,SUV,89642
QA17596,California,Bachelor,Employed,F,Suburban,Married,Two-Door Car,60068
XI41052,California,Bachelor,Employed,F,Suburban,Single,SUV,50044
DI30528,California,Master,Employed,F,Rural,Married,Four-Door Car,36650
SC66359,Arizona,College,Employed,F,Rural,Married,SUV,50653
EN61670,Arizona,Doctor,Employed,F,Urban,Married,Four-Door Car,68931
DQ10761,Oregon,Bachelor,Unemployed,M,Suburban,Single,Four-Door Car,0
BQ51587,California,College,Unemployed,F,Suburban,Single,Four-Door Car,0
JE21522,California,Bachelor,Employed,M,Suburban,Married,Four-Door Car,39266
WS47147,California,College,Unemployed,M,Suburban,Married,SUV,0
ZA64638,Nevada,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
EW38459,Nevada,Bachelor,Employed,F,Rural,Married,Four-Door Car,40864
QW87316,Oregon,College,Employed,F,Urban,Divorced,Four-Door Car,39035
IC43478,California,Bachelor,Employed,M,Suburban,Single,Two-Door Car,34923
TE34064,California,High School or Below,Unemployed,M,Suburban,Single,Four-Door Car,0
WU60905,California,High School or Below,Unemployed,F,Suburban,Married,SUV,0
YM18992,California,College,Employed,F,Suburban,Divorced,Two-Door Car,24506
PD55753,Oregon,High School or Below,Unemployed,M,Suburban,Married,Four-Door Car,0
KU56006,Arizona,College,Employed,F,Suburban,Married,Four-Door Car,52220
MJ69973,Arizona,High School or Below,Unemployed,M,Suburban,Married,Two-Door Car,0
TW43626,California,College,Employed,M,Suburban,Married,Four-Door Car,53554
XX84133,California,Bachelor,Employed,M,Rural,Married,Four-Door Car,34476
ZW84453,Arizona,Bachelor,Unemployed,F,Rural,Married,Four-Door Car,0
HO29524,California,College,Employed,M,Rural,Married,Two-Door Car,68205
VE89726,California,High School or Below,Unemployed,F,Suburban,Single,SUV,0
GE87503,California,High School or Below,Employed,M,Suburban,Married,SUV,53690
PX90263,Oregon,High School or Below,Unemployed,M,Suburban,Single,Four-Door Car,0
NI17718,California,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
FY32213,California,High School or Below,Employed,F,Suburban,Single,Four-Door Car,74454
RZ13254,Nevada,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
GN45013,Oregon,High School or Below,Medical Leave,M,Suburban,Married,Four-Door Car,29664
UB16654,Washington,Master,Disabled,M,Urban,Divorced,Four-Door Car,15680
KU84464,Nevada,Bachelor,Employed,F,Rural,Married,Four-Door Car,47272
YH43527,Oregon,College,Employed,F,Suburban,Married,Four-Door Car,21585
RO30676,California,College,Disabled,F,Rural,Married,Four-Door Car,23827
QL59704,Arizona,College,Employed,F,Urban,Married,Four-Door Car,69906
QH19450,California,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
HR85211,Washington,Master,Employed,F,Rural,Married,Two-Door Car,89879
UV54502,Washington,High School or Below,Unemployed,F,Suburban,Married,Four-Door Car,0
WB38524,California,High School or Below,Employed,M,Suburban,Married,Two-Door Car,46131
CE56187,Oregon,Master,Employed,F,Urban,Divorced,SUV,54514
JL19416,California,High School or Below,Unemployed,F,Suburban,Single,SUV,0
JZ61422,Nevada,College,Employed,F,Suburban,Single,Four-Door Car,96668
LA13377,California,Doctor,Employed,M,Suburban,Married,Four-Door Car,78879
NC99948,Nevada,College,Unemployed,M,Suburban,Single,Four-Door Car,0
QD34785,Arizona,Bachelor,Unemployed,F,Suburban,Married,Four-Door Car,0
RO26085,California,Bachelor,Unemployed,F,Suburban,Single,Sports Car,0
ES57969,Oregon,Bachelor,Medical Leave,M,Suburban,Single,Four-Door Car,29735
